id,country_name,region,flight
1,USA,us_east,< 3h
2,Canada,us_east,< 3h
3,Mexico,us_east,3 to 6h
4,Brazil,us_east,6 to 10h
5,Argentina,us_east,> 10h
6,Dominican Republic,us_east,3 to 6h
7,Peru,us_east,> 10h
8,Cuba,us_east,3 to 6h
9,Iceland,us_east,6 to 10h
10,"UK, Ireland",us_east,6 to 10h
11,Denmark,us_east,6 to 10h
12,France,us_east,6 to 10h
13,Spain,us_east,6 to 10h
14,Portugal,us_east,6 to 10h
15,Italy,us_east,6 to 10h
16,Greece,us_east,6 to 10h
17,Czech Republic,us_east,6 to 10h
18,Belgium,us_east,6 to 10h
19,Turkey,us_east,> 10h
20,Jordan,us_east,> 10h
21,U.A.E,us_east,> 10h
22,Egypt,us_east,> 10h
23,Tanzania,us_east,> 10h
24,Kenya,us_east,> 10h
25,Seychelles,us_east,> 10h
26,Madagascar,us_east,> 10h
27,South Africa,us_east,> 10h
28,Morocco,us_east,> 10h
29,China,us_east,> 10h
30,India,us_east,> 10h
31,Nepal,us_east,> 10h
32,Thailand,us_east,> 10h
33,Vietnam,us_east,> 10h
34,Australia,us_east,> 10h
35,New Zealand,us_east,> 10h
36,Japan,us_east,> 10h
37,Indonesia,us_east,> 10h
38,Cambodia,us_east,> 10h
39,Netherlands,us_east,6 to 10h
40,Finland,us_east,6 to 10h
41,Norway,us_east,6 to 10h
42,Sweden,us_east,6 to 10h
43,Croatia,us_east,6 to 10h
44,USA,us_central,< 3h
45,Canada,us_central,< 3h
46,Mexico,us_central,3 to 6h
47,Brazil,us_central,6 to 10h
48,Argentina,us_central,> 10h
49,Dominican Republic,us_central,3 to 6h
50,Peru,us_central,> 10h
51,Cuba,us_central,3 to 6h
52,Iceland,us_central,> 10h
53,"UK, Ireland",us_central,> 10h
54,Denmark,us_central,> 10h
55,France,us_central,> 10h
56,Spain,us_central,> 10h
57,Portugal,us_central,> 10h
58,Italy,us_central,> 10h
59,Greece,us_central,> 10h
60,Czech Republic,us_central,> 10h
61,Belgium,us_central,> 10h
62,Turkey,us_central,> 10h
63,Jordan,us_central,> 10h
64,U.A.E,us_central,> 10h
65,Egypt,us_central,> 10h
66,Tanzania,us_central,> 10h
67,Kenya,us_central,> 10h
68,Seychelles,us_central,> 10h
69,Madagascar,us_central,> 10h
70,South Africa,us_central,> 10h
71,Morocco,us_central,> 10h
72,China,us_central,> 10h
73,India,us_central,> 10h
74,Nepal,us_central,> 10h
75,Thailand,us_central,> 10h
76,Vietnam,us_central,> 10h
77,Australia,us_central,> 10h
78,New Zealand,us_central,> 10h
79,Japan,us_central,> 10h
80,Indonesia,us_central,> 10h
81,Cambodia,us_central,> 10h
82,Netherlands,us_central,> 10h
83,Finland,us_central,> 10h
84,Norway,us_central,> 10h
85,Sweden,us_central,> 10h
86,Croatia,us_central,> 10h
87,USA,us_mountain,< 3h
88,Canada,us_mountain,< 3h
89,Mexico,us_mountain,3 to 6h
90,Brazil,us_mountain,> 10h
91,Argentina,us_mountain,> 10h
92,Dominican Republic,us_mountain,3 to 6h
93,Peru,us_mountain,> 10h
94,Cuba,us_mountain,3 to 6h
95,Iceland,us_mountain,> 10h
96,"UK, Ireland",us_mountain,> 10h
97,Denmark,us_mountain,> 10h
98,France,us_mountain,> 10h
99,Spain,us_mountain,> 10h
100,Portugal,us_mountain,> 10h
101,Italy,us_mountain,> 10h
102,Greece,us_mountain,> 10h
103,Czech Republic,us_mountain,> 10h
104,Belgium,us_mountain,> 10h
105,Turkey,us_mountain,> 10h
106,Jordan,us_mountain,> 10h
107,U.A.E,us_mountain,> 10h
108,Egypt,us_mountain,> 10h
109,Tanzania,us_mountain,> 10h
110,Kenya,us_mountain,> 10h
111,Seychelles,us_mountain,> 10h
112,Madagascar,us_mountain,> 10h
113,South Africa,us_mountain,> 10h
114,Morocco,us_mountain,> 10h
115,China,us_mountain,> 10h
116,India,us_mountain,> 10h
117,Nepal,us_mountain,> 10h
118,Thailand,us_mountain,> 10h
119,Vietnam,us_mountain,> 10h
120,Australia,us_mountain,> 10h
121,New Zealand,us_mountain,> 10h
122,Japan,us_mountain,> 10h
123,Indonesia,us_mountain,> 10h
124,Cambodia,us_mountain,> 10h
125,Netherlands,us_mountain,> 10h
126,Finland,us_mountain,> 10h
127,Norway,us_mountain,> 10h
128,Sweden,us_mountain,> 10h
129,Croatia,us_mountain,> 10h
130,USA,us_pacific,< 3h
131,Canada,us_pacific,< 3h
132,Mexico,us_pacific,3 to 6h
133,Brazil,us_pacific,> 10h
134,Argentina,us_pacific,> 10h
135,Dominican Republic,us_pacific,3 to 6h
136,Peru,us_pacific,> 10h
137,Cuba,us_pacific,3 to 6h
138,Iceland,us_pacific,> 10h
139,"UK, Ireland",us_pacific,> 10h
140,Denmark,us_pacific,> 10h
141,France,us_pacific,> 10h
142,Spain,us_pacific,> 10h
143,Portugal,us_pacific,> 10h
144,Italy,us_pacific,> 10h
145,Greece,us_pacific,> 10h
146,Czech Republic,us_pacific,> 10h
147,Belgium,us_pacific,> 10h
148,Turkey,us_pacific,> 10h
149,Jordan,us_pacific,> 10h
150,U.A.E,us_pacific,> 10h
151,Egypt,us_pacific,> 10h
152,Tanzania,us_pacific,> 10h
153,Kenya,us_pacific,> 10h
154,Seychelles,us_pacific,> 10h
155,Madagascar,us_pacific,> 10h
156,South Africa,us_pacific,> 10h
157,Morocco,us_pacific,> 10h
158,China,us_pacific,> 10h
159,India,us_pacific,> 10h
160,Nepal,us_pacific,> 10h
161,Thailand,us_pacific,> 10h
162,Vietnam,us_pacific,> 10h
163,Australia,us_pacific,> 10h
164,New Zealand,us_pacific,> 10h
165,Japan,us_pacific,> 10h
166,Indonesia,us_pacific,> 10h
167,Cambodia,us_pacific,> 10h
168,Netherlands,us_pacific,> 10h
169,Finland,us_pacific,> 10h
170,Norway,us_pacific,> 10h
171,Sweden,us_pacific,> 10h
172,Croatia,us_pacific,> 10h
173,USA,canada_east,< 3h
174,Canada,canada_east,< 3h
175,Mexico,canada_east,3 to 6h
176,Brazil,canada_east,6 to 10h
177,Argentina,canada_east,> 10h
178,Dominican Republic,canada_east,3 to 6h
179,Peru,canada_east,> 10h
180,Cuba,canada_east,3 to 6h
181,Iceland,canada_east,6 to 10h
182,"UK, Ireland",canada_east,6 to 10h
183,Denmark,canada_east,6 to 10h
184,France,canada_east,6 to 10h
185,Spain,canada_east,6 to 10h
186,Portugal,canada_east,6 to 10h
187,Italy,canada_east,6 to 10h
188,Greece,canada_east,6 to 10h
189,Czech Republic,canada_east,6 to 10h
190,Belgium,canada_east,6 to 10h
191,Turkey,canada_east,> 10h
192,Jordan,canada_east,> 10h
193,U.A.E,canada_east,> 10h
194,Egypt,canada_east,> 10h
195,Tanzania,canada_east,> 10h
196,Kenya,canada_east,> 10h
197,Seychelles,canada_east,> 10h
198,Madagascar,canada_east,> 10h
199,South Africa,canada_east,> 10h
200,Morocco,canada_east,> 10h
201,China,canada_east,> 10h
202,India,canada_east,> 10h
203,Nepal,canada_east,> 10h
204,Thailand,canada_east,> 10h
205,Vietnam,canada_east,> 10h
206,Australia,canada_east,> 10h
207,New Zealand,canada_east,> 10h
208,Japan,canada_east,> 10h
209,Indonesia,canada_east,> 10h
210,Cambodia,canada_east,> 10h
211,Netherlands,canada_east,6 to 10h
212,Finland,canada_east,6 to 10h
213,Norway,canada_east,6 to 10h
214,Sweden,canada_east,6 to 10h
215,Croatia,canada_east,6 to 10h
216,USA,canada_central,< 3h
217,Canada,canada_central,< 3h
218,Mexico,canada_central,3 to 6h
219,Brazil,canada_central,> 10h
220,Argentina,canada_central,> 10h
221,Dominican Republic,canada_central,3 to 6h
222,Peru,canada_central,> 10h
223,Cuba,canada_central,3 to 6h
224,Iceland,canada_central,> 10h
225,"UK, Ireland",canada_central,> 10h
226,Denmark,canada_central,> 10h
227,France,canada_central,> 10h
228,Spain,canada_central,> 10h
229,Portugal,canada_central,> 10h
230,Italy,canada_central,> 10h
231,Greece,canada_central,> 10h
232,Czech Republic,canada_central,> 10h
233,Belgium,canada_central,> 10h
234,Turkey,canada_central,> 10h
235,Jordan,canada_central,> 10h
236,U.A.E,canada_central,> 10h
237,Egypt,canada_central,> 10h
238,Tanzania,canada_central,> 10h
239,Kenya,canada_central,> 10h
240,Seychelles,canada_central,> 10h
241,Madagascar,canada_central,> 10h
242,South Africa,canada_central,> 10h
243,Morocco,canada_central,> 10h
244,China,canada_central,> 10h
245,India,canada_central,> 10h
246,Nepal,canada_central,> 10h
247,Thailand,canada_central,> 10h
248,Vietnam,canada_central,> 10h
249,Australia,canada_central,> 10h
250,New Zealand,canada_central,> 10h
251,Japan,canada_central,> 10h
252,Indonesia,canada_central,> 10h
253,Cambodia,canada_central,> 10h
254,Netherlands,canada_central,> 10h
255,Finland,canada_central,> 10h
256,Norway,canada_central,> 10h
257,Sweden,canada_central,> 10h
258,Croatia,canada_central,> 10h
259,USA,canada_pacific,< 3h
260,Canada,canada_pacific,< 3h
261,Mexico,canada_pacific,3 to 6h
262,Brazil,canada_pacific,> 10h
263,Argentina,canada_pacific,> 10h
264,Dominican Republic,canada_pacific,3 to 6h
265,Peru,canada_pacific,> 10h
266,Cuba,canada_pacific,3 to 6h
267,Iceland,canada_pacific,> 10h
268,"UK, Ireland",canada_pacific,> 10h
269,Denmark,canada_pacific,> 10h
270,France,canada_pacific,> 10h
271,Spain,canada_pacific,> 10h
272,Portugal,canada_pacific,> 10h
273,Italy,canada_pacific,> 10h
274,Greece,canada_pacific,> 10h
275,Czech Republic,canada_pacific,> 10h
276,Belgium,canada_pacific,> 10h
277,Turkey,canada_pacific,> 10h
278,Jordan,canada_pacific,> 10h
279,U.A.E,canada_pacific,> 10h
280,Egypt,canada_pacific,> 10h
281,Tanzania,canada_pacific,> 10h
282,Kenya,canada_pacific,> 10h
