"id";"country_name";"city";"jan";"feb";"mar";"apr";"may";"jun";"jul";"aug";"sep";"oct";"nov";"dec"
"1";"Argentina";"Mar del Plata";"18";"19";"18";"17";"15";"13";"11";"10";"11";"13";"15";"17"
"2";"Argentina";"Ushuaia";"7";"8";"7";"7";"6";"5";"3";"3";"4";"5";"6";"6"
"3";"Argentina";"Puerto Madryn";"15";"16";"15";"14";"12";"10";"8";"8";"8";"9";"12";"14"
"4";"Australia";"Darwin";"30";"30";"29";"27";"26";"26";"26";"26";"27";"28";"29";"29"
"5";"Australia";"Perth";"20";"20";"21";"21";"20";"19";"18";"18";"18";"19";"19";"20"
"6";"Australia";"Adelaide";"18";"19";"19";"18";"17";"16";"15";"14";"14";"15";"16";"17"
"7";"Australia";"Sydney";"20";"21";"20";"20";"20";"19";"17";"17";"18";"18";"19";"20"
"8";"Australia";"Brisbane";"25";"26";"25";"24";"23";"22";"20";"21";"20";"22";"23";"24"
"9";"Australia";"Cairns";"28";"29";"28";"27";"26";"25";"24";"24";"25";"26";"27";"28"
"10";"Australia";"Hobart";"15";"16";"16";"15";"14";"13";"12";"11";"12";"12";"13";"14"
"11";"Belgium";"Ostende";"6";"6";"6";"8";"11";"13";"16";"17";"16";"14";"11";"9"
"12";"Brazil";"Salvador de Bahia";"27";"27";"27";"27";"26";"26";"25";"25";"24";"25";"26";"26"
"13";"Brazil";"Rio Grande do Sul";"23";"24";"23";"22";"21";"19";"18";"16";"17";"18";"20";"22"
"14";"Brazil";"Rio de Janeiro";"25";"26";"25";"25";"23";"22";"21";"20";"20";"21";"22";"24"
"15";"Cambodia";"Gulf of Thailand";"26";"27";"27";"28";"28";"28";"29";"28";"28";"27";"27";"27"
"16";"Canada";"Halifax";"1";"1";"1";"1";"5";"9";"14";"16";"14";"11";"8";"3"
"17";"Canada";"Vancouver";"9";"8";"9";"10";"11";"13";"14";"15";"14";"12";"11";"10"
"18";"China";"Yulin";"22";"22";"23";"25";"27";"28";"30";"28";"28";"28";"24";"23"
"19";"China";"Hong Kong";"18";"17";"18";"21";"25";"27";"27";"28";"28";"27";"24";"20"
"20";"China";"Shangai";"9";"8";"11";"14";"18";"23";"26";"27";"27";"25";"17";"13"
"21";"China";"Qingdao";"6";"5";"7";"9";"14";"19";"23";"23";"26";"23";"15";"9"
"22";"Costa Rica";"Caribbean Sea";"26";"26";"27";"27";"28";"28";"28";"28";"28";"27";"27";"27"
"23";"Costa Rica";"Pacific";"26";"27";"27";"28";"28";"28";"27";"27";"27";"27";"27";"26"
"24";"Croatia";"Rijeka";"11";"11";"11";"14";"17";"20";"23";"24";"22";"19";"16";"13"
