"id";"country_name";"city";"jan";"feb";"mar";"apr";"may";"jun";"jul";"aug";"sep";"oct";"nov";"dec";"annual"
"1";"Argentina";"Buenos Aires";"9.0";"8.6";"7.4";"7.3";"5.6";"4.4";"4.6";"5.6";"6.3";"7.3";"8.4";"8.6";"2525"
"2";"Argentina";"Ushuaia";"5.8";"5.4";"4.0";"3.1";"2.5";"1.7";"1.1";"1.9";"2.9";"3.6";"4.7";"5.5";"1281"
"3";"Argentina";"Mendoza";"9.6";"9.2";"7.6";"7.3";"6.3";"5.6";"5.9";"7.4";"7.5";"9.1";"9.8";"9.2";"2872"
"4";"Argentina";"La Plata";"8.1";"8.2";"6.8";"6.2";"5.0";"4.0";"4.1";"5.2";"5.7";"6.7";"7.5";"7.7";"2283"
"5";"Australia";"Adelaide";"10.5";"10.2";"8.6";"7.3";"5.4";"4.6";"4.8";"6.0";"6.8";"8.3";"9.1";"9.5";"2765"
"6";"Australia";"Brisbane";"8.5";"8.0";"7.5";"7.8";"7.6";"6.6";"7.7";"8.6";"9.0";"8.9";"9.0";"8.6";"2968"
"7";"Australia";"Canberra";"9.5";"9.1";"8.1";"7.3";"6.0";"5.2";"5.8";"7.0";"7.7";"8.6";"8.9";"9.4";"2814"
"8";"Australia";"Darwin";"5.7";"5.8";"6.8";"8.7";"9.6";"9.9";"10.1";"10.3";"9.9";"9.4";"8.4";"6.9";"3092"
"9";"Australia";"Hobart";"8.0";"7.4";"6.4";"5.3";"4.2";"3.9";"4.4";"5.0";"5.9";"6.5";"6.9";"7.4";"2165"
"10";"Australia";"Melbourne";"8.6";"8.2";"7.2";"6.2";"4.6";"4.0";"4.4";"5.3";"6.1";"7.2";"7.5";"8.5";"2363"
"11";"Australia";"Perth";"11.5";"11.2";"9.5";"8.2";"6.8";"6.0";"6.1";"7.1";"7.7";"9.7";"10.7";"11.6";"3230"
"12";"Australia";"Sydney";"7.6";"7.2";"6.9";"6.9";"6.3";"5.9";"6.6";"7.9";"7.9";"7.9";"7.6";"7.9";"2636"
"13";"Belgium";"Brussels";"1.9";"2.8";"3.7";"5.3";"6.2";"6.3";"6.5";"6.1";"4.8";"3.6";"2.2";"1.5";"1546"
"14";"Brazil";"Sao Paulo";"5.5";"5.8";"5.4";"5.5";"5.9";"5.8";"6.0";"5.7";"5.1";"5.0";"5.4";"4.9";"2003"
"15";"Brazil";"Brasília";"5.0";"5.6";"5.8";"6.7";"7.6";"8.4";"8.6";"8.5";"6.8";"5.4";"4.8";"4.5";"2363"
"16";"Brazil";"Rio de Janeiro";"6.8";"7.2";"6.7";"6.0";"6.0";"5.8";"6.1";"6.0";"4.9";"4.9";"5.6";"5.8";"2181"
"17";"Brazil";"Fortaleza";"7.3";"6.5";"4.8";"5.2";"6.7";"8.0";"8.7";"9.5";"9.4";"9.4";"9.4";"8.5";"2843"
"18";"Brazil";"Manaus";"3.7";"3.1";"3.2";"3.7";"4.8";"6.2";"6.9";"7.3";"6.7";"5.5";"4.7";"4.2";"1829"
"19";"Brazil";"Curitiba";"5.9";"5.7";"5.5";"5.5";"5.8";"5.3";"5.6";"5.7";"4.5";"5.0";"5.9";"5.5";"2006"
"20";"Cambodia";"Phnom Penh";"8.0";"8.0";"9.0";"8.0";"7.0";"6.0";"5.0";"6.0";"4.0";"6.0";"7.0";"8.0";"2542"
"21";"Canada";"Calgary";"3.9";"5.2";"5.7";"7.3";"8.0";"9.0";"10.1";"9.2";"6.9";"5.7";"4.0";"3.7";"2396"
"22";"Canada";"Churchill";"2.6";"4.2";"5.7";"6.6";"6.4";"8.1";"9.1";"7.3";"3.7";"1.9";"1.8";"1.7";"1800"
"23";"Canada";"Edmonton";"3.3";"4.3";"5.7";"8.1";"9.0";"9.5";"9.9";"9.1";"6.4";"5.5";"3.3";"2.7";"2345"
"24";"Canada";"Iqaluit";"1.0";"3.4";"5.6";"7.2";"5.8";"6.7";"7.6";"5.1";"2.9";"1.7";"1.2";"0.4";"1477"
"25";"Canada";"Montreal";"3.3";"4.6";"5.3";"5.9";"7.4";"8.0";"8.8";"7.9";"6.1";"4.6";"2.8";"2.7";"2051"
