id,country_name,type,month
1,Argentina,snow,jul
2,Argentina,snow,jun
3,Argentina,history,jan
4,Argentina,history,jan
5,Argentina,history,jan
6,Argentina,history,nov
7,Argentina,history,dec
8,Argentina,nature,jan
9,Argentina,nature,feb
10,Argentina,nature,mar
11,Argentina,nature,nov
12,Argentina,nature,dec
13,Argentina,culture,jan
14,Argentina,culture,feb
15,Argentina,culture,mar
16,Argentina,culture,nov
17,Argentina,culture,dec
18,Australia,city_break,apr
19,Australia,culture,apr
20,Australia,history,apr
21,Australia,nature,apr
22,Australia,beach,apr
23,Australia,city_break,sep
24,Australia,culture,sep
25,Australia,history,sep
26,Australia,nature,sep
27,Australia,beach,sep
28,Australia,city_break,oct
29,Australia,culture,oct
30,Australia,history,oct
31,Australia,nature,oct
32,Australia,beach,oct
33,Belgium,city_break,may
34,Belgium,culture,may
35,Belgium,history,may
36,Belgium,city_break,jun
37,Belgium,culture,jun
38,Belgium,history,jun
39,Belgium,city_break,jul
40,Belgium,culture,jul
41,Belgium,history,jul
42,Belgium,city_break,aug
43,Belgium,culture,aug
44,Belgium,history,aug
45,Belgium,city_break,sep
46,Belgium,culture,sep
47,Belgium,history,sep
48,Brazil,history,jun
49,Brazil,nature,jun
50,Brazil,beach,jul
51,Brazil,history,jul
52,Brazil,nature,jul
53,Brazil,beach,aug
54,Brazil,history,aug
55,Brazil,nature,aug
56,Brazil,beach,sep
57,Brazil,history,sep
58,Brazil,nature,sep
59,Brazil,beach,oct
60,Brazil,history,oct
61,Brazil,nature,oct
62,Brazil,beach,jun
63,Cambodia,culture,dec
64,Cambodia,history,dec
65,Cambodia,nature,dec
66,Cambodia,beach,dec
67,Cambodia,culture,jan
68,Cambodia,history,jan
69,Cambodia,nature,jan
70,Cambodia,beach,jan
71,Cambodia,culture,feb
72,Cambodia,history,feb
73,Cambodia,nature,feb
74,Cambodia,beach,feb
75,Cambodia,culture,nov
76,Cambodia,history,nov
77,Cambodia,nature,nov
78,Cambodia,beach,nov
79,Canada,city_break,may
80,Canada,culture,may
81,Canada,history,may
82,Canada,nature,may
83,Canada,mountain,may
84,Canada,snow,nov
85,Canada,snow,dec
86,Canada,snow,jan
87,Canada,snow,feb
88,Canada,nature,dec
89,Canada,nature,feb
